,artist_name,track_name,url
56,The Prodigy,Everybody in the Place (155 and Rising),http://open.spotify.com/track/41vTXFJJpJFJrbd8k0IlZW
57,Juice Music,Up There Cazaly,http://open.spotify.com/track/2PphKjc6zTMqkGBZ6YFAbQ
58,Lil Baby,Word On The Street,http://open.spotify.com/track/52i143Ph5c3RQaQFBXWix1
59,Rend Collective,This Little Light Of Mine,http://open.spotify.com/track/54lG7yxrHhQfFSphwoXgUb
60,Fatboy Slim,Gangster Trippin,http://open.spotify.com/track/4COihQpsyRIzL1tMaUARvh
61,Toots & The Maytals,Country Roads - Live,http://open.spotify.com/track/3jvemYK8J6Gkuz9a42BpI6
62,Anders Osborne,Alone,http://open.spotify.com/track/3HQW2BtBWNCdYuNzrI6Rtu
63,OneRepublic,Burning Bridges,http://open.spotify.com/track/3qd6wKpFQf4JljGU7y18CJ
64,Logan Mize,Ain't Always Pretty (Acoustic Sessions),http://open.spotify.com/track/41pZtVysMnD4VGag5Z9XUF
65,Juice Music,Dem Bones,http://open.spotify.com/track/2us1AudcLT4ZNt6QC6n4Kf
66,The Cranberries,Dreams,http://open.spotify.com/track/4JGKZS7h4Qa16gOU3oNETV
67,Ruggero Leoncavallo,Barcarola Veneziana,http://open.spotify.com/track/4HHhP1VsboPUAgyyow80Kp
68,The Touré-Raichel Collective,Soumbou Toure,http://open.spotify.com/track/74S5sQN4yOMh0bcOP6BgYU
69,James Horner,One Last Wish - Casper/Soundtrack Version,http://open.spotify.com/track/4Shpyq2PAgkpO8vKTgqYoW
70,Five Finger Death Punch,Dot Your Eyes,http://open.spotify.com/track/7zyJ2g9o0nVOBbDavVveCl
71,Big Jay Oakerson,Diagnosis: Sad,http://open.spotify.com/track/3VxZSQmNl10CucrISf4voj
72,Kali Uchis,Rush,http://open.spotify.com/track/1mObaffqm7cPSUUbNZuiNJ
73,Leon Bridges,Flowers,http://open.spotify.com/track/1s0uk3LmYulYhdiLlpxqzF
74,H.E.R.,Hopes Up,http://open.spotify.com/track/1VnEQ3LdQlARfow87U9BLn
75,NoMBe,Summer's Gone,http://open.spotify.com/track/62crJjeje0T8g5N3Tuq00V
76,Masked Intruder,Running from the Cops,http://open.spotify.com/track/2o92vCWq7c6BJ7ZOruyofu
77,Paul Mooney,Hammer,http://open.spotify.com/track/2v4VTNv9rcLqSwXCOWDxlD
78,NOFX,Bleeding Heart Disease,http://open.spotify.com/track/1LIy3a4iAMe0ies2nIGZfj
79,Lea Salonga,If You're Not Here (By My Side),http://open.spotify.com/track/0tx5OW1NcMCEmQTkHFtPEs
80,Michael W. Smith,Open The Eyes Of My Heart - Live,http://open.spotify.com/track/4um6ZMnib1I7VuG3c6jGm5
81,Gillian Welch,Hard Times,http://open.spotify.com/track/3FJ46AfhOr2TyfhVTlK1sj
82,"""Weird Al"" Yankovic","Grapefruit Diet (Parody of ""Zoot Suit Riot"" by Cherry Poppin' Daddies)",http://open.spotify.com/track/64vs4dpa55X1Z2thSiK3Ad
83,Jacques Offenbach,"Harmonies des bois, Op. 76: 2. Les larmes de Jacqueline",http://open.spotify.com/track/1TLMSe2E7OymacXDbDlqDN
84,Lorde,Green Light - Chromeo Remix,http://open.spotify.com/track/2sbtixigDCbjXBTMRSEECS
85,Hollywood Undead,Broken Record,http://open.spotify.com/track/14ZQDBi6dGhjMfvtAeyibI
86,"Tito ""El Bambino""",Mi Cama Huele a Ti,http://open.spotify.com/track/6YLJCOynR32U4YXtsvzTdC
87,The Avett Brothers,Neapolitan Sky,http://open.spotify.com/track/1CGCzGaHvPiU7wxsUV7Dbj
88,Joe Bonamassa,Tennessee Plates,http://open.spotify.com/track/7IqgzG3pELbSdoIAInTI19
89,Ray LaMontagne,You Are the Best Thing,http://open.spotify.com/track/1jyddn36UN4tVsJGtaJfem
90,Claude Debussy,"Préludes, Livre 1, L. 117: 11. La danse de Puck. Capricieux et léger",http://open.spotify.com/track/2uddq1U0lbAXylYnHS9qhK
91,Fela Kuti,It's Highlife Time,http://open.spotify.com/track/7b1Sax2Go8uwu3IOyJPVTF
92,SEKAI NO OWARI,Moonlight Station,http://open.spotify.com/track/56lhtTSTaCfb1cRE2ahoqA
93,Tyler Bryant & the Shakedown,Shock & Awe,http://open.spotify.com/track/2nyYLENNkN2z1IzX9I7yZV
94,Breaking Benjamin,The Dark of You,http://open.spotify.com/track/7egnrHJAANlNymbrmQNKcG
95,Stephen Lynch,If I Told You (Reprise),http://open.spotify.com/track/1ZxgNVxDm6AfG29z5Fh9rO
96,Have Mercy,Two Years,http://open.spotify.com/track/1P0Gn1NMTJ7gUYnB9vsMwm
97,Father John Misty,"I Love You, Honeybear",http://open.spotify.com/track/4l86U8arITFVBfDvYn82v7
98,Bronze Radio Return,With Me All Along,http://open.spotify.com/track/4bWKI0jOP1LH2EHnXammso
99,Tinashe,Feels Like Vegas,http://open.spotify.com/track/0DqKMbPXhUIXcgDOVmohiM
100,ASIAN KUNG-FU GENERATION,Loop & Loop,http://open.spotify.com/track/4HdAneA6apoM0jNckeiUwJ
101,Stranger Cole,Just Like a River,http://open.spotify.com/track/6yOXOGQxwqDBZyv8edH4hy
102,Baauer,Kung Fu,http://open.spotify.com/track/2prmi5njAe1nHkxFWh3Hbm
103,Point Point,Au revoir,http://open.spotify.com/track/49e1Phvzfavdeh5jjdtwCx
104,2 Chainz,NCAA,http://open.spotify.com/track/2jXpiTuwwWbCSvpkKwCfwc
105,Mr Twin Sister,Echo Arms,http://open.spotify.com/track/2jYOkLY0Q5jK8vVca6zaAE
106,Lady Antebellum,Just A Kiss,http://open.spotify.com/track/2nRvKHh2mtOfIQ4jcAkP9q
107,The Cramps,I Was A Teenage Werewolf - Remastered,http://open.spotify.com/track/3sEQf5AuiphddGXRIWBcO9
108,Capleton,Bun Dem Up,http://open.spotify.com/track/2UW48HwoVstEpKDlhAML7f
109,Tito Puente,Yeah!,http://open.spotify.com/track/4flkRukgWWir81O8TpAzMa
110,Matt Maeson,Hallucinogenics - Vallis Alps Remix,http://open.spotify.com/track/3BhiSz6DdKV8O6Iy0rKj6a
111,June Anderson,La Regata Veneziana,http://open.spotify.com/track/3jTJhAy9Dd3LVRhTGTWc1Q
112,Ozuna,"Me Reclama (Remix) [feat. Luigi 21 Plus, Alexio & Pusho]",http://open.spotify.com/track/2siO5Lbu3fjfr58HSX3VbZ
113,Arcangel,Bien Puta,http://open.spotify.com/track/1ZDZp1gkZ2WF7jbaKchYqd
114,Bruno Coulais,Pepinot,http://open.spotify.com/track/6Gj8iLMCNHlZqTYWWA7Yds
115,Meredith Andrews,Not For a Moment (After All),http://open.spotify.com/track/0DLm6rzoQFEdOHL0EqVv3t
116,Donny Osmond,Deep Purple,http://open.spotify.com/track/5q0CwoceMsA5pOdptSAtdO
117,Hekler,Mirrors,http://open.spotify.com/track/6FTUBPnaVbOirvfIvb6akP
118,Brian Regan,Blasting Zone,http://open.spotify.com/track/1CLJVMHuNu4td84O52wECW
119,Junip,Far Away,http://open.spotify.com/track/3YlFtz805JwhDGy0fLasBO
120,Beyoncé,***Flawless,http://open.spotify.com/track/7tefUew2RUuSAqHyegMoY1
121,Trey Songz,Simply Amazing,http://open.spotify.com/track/6SrbZ8Mx1qySNJIFs2ohJl
122,Four Tet,Locked,http://open.spotify.com/track/1vBxzMZGCneeEemHVMw6Q3
123,The Shelters,Rebel Heart,http://open.spotify.com/track/3Pc4BTWoH6x0PmeGfQzn5a
124,Shawn Mendes,Mutual,http://open.spotify.com/track/5gW3kI83886nVV9apaFLWu
125,Michael Lington,Show Me,http://open.spotify.com/track/54stM1BCk5KKMXjomMDoLP
126,Grizzly Bear,Wasted Acres,http://open.spotify.com/track/0IvQCuL8N4158edtz98LCL
127,DaniLeigh,Blue Chips,http://open.spotify.com/track/7yk8p6zfqIB7fQHPOQ96z8
128,Los Eleven,Llámame,http://open.spotify.com/track/2m9gVcFi3rfoiBMdfJxRO6
129,Alonzo Bodden,Pro Common Sense,http://open.spotify.com/track/0UdI1CTj0iirvPU9aR53K9
130,My Darkest Days,Nature Of The Beast,http://open.spotify.com/track/0Fu7bbHYDB20oGZODlLPZN
131,Kodak Black,Save You,http://open.spotify.com/track/1RkkWkxfzn0L75BfPLw3Ix
132,The Frights,Crust Bucket,http://open.spotify.com/track/6YWtvUPKgCYSiPDBuAjj0Q
133,Nicky Jam,Live It Up - Official Song 2018 FIFA World Cup Russia,http://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
134,Wild Nothing,Whenever I,http://open.spotify.com/track/7aqqkpCbBHt0csewgRyMvC
135,The Outfield,Your Love,http://open.spotify.com/track/5dRQUolXAVX3BbCiIxmSsf
